,trace_id,operation,start_time,duration
0,08168242a6d19fe4,url_mongo_insert_client,2024-06-02 01:55:12.211101,39.158
1,08168242a6d19fe4,compose_urls_server,2024-06-02 01:55:12.211043,39.371
2,08168242a6d19fe4,compose_media_client,2024-06-02 01:55:12.194443,17.045
3,08168242a6d19fe4,compose_creator_client,2024-06-02 01:55:12.194358,37.158
4,08168242a6d19fe4,compose_unique_id_client,2024-06-02 01:55:12.194480,38.747
5,08168242a6d19fe4,compose_text_client,2024-06-02 01:55:12.194317,196.588
6,08168242a6d19fe4,store_post_client,2024-06-02 01:55:12.391527,217.971
7,08168242a6d19fe4,write_user_timeline_client,2024-06-02 01:55:12.609560,21.234
8,08168242a6d19fe4,compose_post_server,2024-06-02 01:55:12.194207,436.618
9,08168242a6d19fe4,compose_creator_server,2024-06-02 01:55:12.204064,0.006
10,08168242a6d19fe4,compose_unique_id_server,2024-06-02 01:55:12.203779,0.007
11,08168242a6d19fe4,compose_media_server,2024-06-02 01:55:12.198859,0.003
12,08168242a6d19fe4,/wrk2-api/post/compose,2024-06-02 01:55:12.064000,580.683
13,08168242a6d19fe4,/wrk2-api/post/compose,2024-06-02 01:55:12.064485,580.198
14,08168242a6d19fe4,compose_post_client,2024-06-02 01:55:12.064849,1322.808
15,08168242a6d19fe4,compose_urls_client,2024-06-02 01:55:12.205085,90.18
16,08168242a6d19fe4,compose_user_mentions_client,2024-06-02 01:55:12.205116,177.707
17,08168242a6d19fe4,compose_text_server,2024-06-02 01:55:12.204895,177.988
18,08168242a6d19fe4,compose_user_mentions_memcached_get_client,2024-06-02 01:55:12.240569,49.842
19,08168242a6d19fe4,compose_user_mentions_mongo_find_client,2024-06-02 01:55:12.290432,87.052
20,08168242a6d19fe4,compose_user_mentions_server,2024-06-02 01:55:12.240560,136.935
21,08168242a6d19fe4,post_storage_mongo_insert_client,2024-06-02 01:55:12.424457,175.175
22,08168242a6d19fe4,store_post_server,2024-06-02 01:55:12.424444,175.244
23,0333b833e4f3895d,url_mongo_insert_client,2024-06-02 01:55:12.233346,35.022
24,0333b833e4f3895d,compose_urls_server,2024-06-02 01:55:12.233266,36.31
25,0333b833e4f3895d,compose_text_client,2024-06-02 01:55:12.215276,217.02
26,0333b833e4f3895d,store_post_client,2024-06-02 01:55:12.432436,206.944
27,0333b833e4f3895d,write_user_timeline_client,2024-06-02 01:55:12.639452,32.189
28,0333b833e4f3895d,compose_post_server,2024-06-02 01:55:12.215188,456.484
29,0333b833e4f3895d,compose_creator_client,2024-06-02 01:55:12.215317,38.369
30,0333b833e4f3895d,compose_media_client,2024-06-02 01:55:12.215327,20.255
31,0333b833e4f3895d,compose_unique_id_client,2024-06-02 01:55:12.215497,35.008
32,0333b833e4f3895d,compose_creator_server,2024-06-02 01:55:12.225232,0.003
33,0333b833e4f3895d,compose_unique_id_server,2024-06-02 01:55:12.224621,0.008
34,0333b833e4f3895d,compose_media_server,2024-06-02 01:55:12.220310,0.003
35,0333b833e4f3895d,/wrk2-api/post/compose,2024-06-02 01:55:12.134041,550.989
36,0333b833e4f3895d,/wrk2-api/post/compose,2024-06-02 01:55:12.133000,552.03
37,0333b833e4f3895d,compose_post_client,2024-06-02 01:55:12.134265,1062.539
38,0333b833e4f3895d,compose_urls_client,2024-06-02 01:55:12.225654,68.802
39,0333b833e4f3895d,compose_user_mentions_client,2024-06-02 01:55:12.225666,201.065
40,0333b833e4f3895d,compose_text_server,2024-06-02 01:55:12.225476,201.331
41,0333b833e4f3895d,compose_user_mentions_server,2024-06-02 01:55:12.257750,164.374
42,0333b833e4f3895d,compose_user_mentions_memcached_get_client,2024-06-02 01:55:12.257755,64.401
43,0333b833e4f3895d,compose_user_mentions_mongo_find_client,2024-06-02 01:55:12.322182,99.926
44,0333b833e4f3895d,post_storage_mongo_insert_client,2024-06-02 01:55:12.538933,86.116
45,0333b833e4f3895d,store_post_server,2024-06-02 01:55:12.538915,86.152
46,058c30ac32fdf6ca,url_mongo_insert_client,2024-06-02 01:55:12.300501,81.603
47,058c30ac32fdf6ca,compose_urls_server,2024-06-02 01:55:12.300450,81.909
48,058c30ac32fdf6ca,compose_media_client,2024-06-02 01:55:12.254991,18.019
49,058c30ac32fdf6ca,compose_text_client,2024-06-02 01:55:12.254916,356.955
50,058c30ac32fdf6ca,store_post_client,2024-06-02 01:55:12.612001,74.378
51,058c30ac32fdf6ca,write_user_timeline_client,2024-06-02 01:55:12.686447,24.891
52,058c30ac32fdf6ca,compose_post_server,2024-06-02 01:55:12.254854,456.504
53,058c30ac32fdf6ca,compose_creator_client,2024-06-02 01:55:12.254933,35.085
54,058c30ac32fdf6ca,compose_unique_id_client,2024-06-02 01:55:12.254946,34.945
55,058c30ac32fdf6ca,compose_creator_server,2024-06-02 01:55:12.264364,0.006
56,058c30ac32fdf6ca,compose_unique_id_server,2024-06-02 01:55:12.264210,0.007
